katottg;latitude;longitude
UA01040000000069938;45.0544000;34.6022000
UA01040010000012643;45.0361111;34.4000000
UA01040010010075410;45.0361111;34.4000000
UA01040010020047319;45.0027778;34.3472222
UA01040010030032536;44.9936111;34.3625000
UA01040030010054698;45.0280556;34.7661111
UA01040030020054426;45.0100000;34.7502778
UA01040030030079308;44.9836111;34.7433333
UA01040030040031736;45.0375000;34.7847222
UA01040030050078807;44.9488889;34.7211111
UA01040030060066182;45.0213889;34.7916667
UA01040030070095548;45.0125000;34.7347222
UA01040050010076142;45.0544444;34.6022222
UA01040070000067477;45.1394444;34.7236111
UA01040070010033033;45.1394444;34.7227778
UA01040070020055528;45.1297222;34.7386111
UA01040070030047836;45.0941667;34.7700000
UA01040070040034784;45.1802778;34.7136111
UA01040070050033996;45.1102778;34.7169444
UA01040070060012593;45.1594444;34.7300000
UA01040090000079381;45.1402778;34.6013889
UA01040090010029666;45.1416667;34.6013889
UA01040090020073644;45.0958333;34.6375000
UA01040090030082750;45.1341667;34.5694444
UA01040110000030475;45.2850000;34.5938889
UA01040110010070703;45.2847222;34.6175000
UA01040110020039966;45.2719444;34.6102778
UA01040110030087754;45.2944444;34.5750000
UA01040130000027316;45.3999420;34.7203760
UA01040130010024144;45.3958333;34.7569444
UA01040130020098833;45.4013889;34.6833333
UA01040150000027533;45.2741667;34.6616667
UA01040150010012456;45.2750000;34.6583333
UA01040150020053669;45.2536111;34.6455556
UA01040150030055513;45.2750000;34.7083333
UA01040170010099030;45.0097222;34.4691667
UA01040170020016040;44.9944444;34.4541667
UA01040170030074437;44.9838889;34.4105556
UA01040170040064672;45.0216667;34.4877778
UA01040170050072173;45.0038889;34.4966667
UA01040170060032396;44.9683333;34.5830556
UA01040170070071644;45.0250000;34.5277778
UA01040170080017987;44.9883333;34.4230556
UA01040170090038370;44.9361111;34.5427778
UA01040170100036591;44.9861111;34.4583333
UA01040190000020544;44.9670000;34.8330000
UA01040190010097055;44.9722222;34.8347222
UA01040190020016045;44.9888889;34.8291667
UA01040190030042848;44.9972222;34.9013889
UA01040190040040090;44.9952778;34.8438889
UA01040190050057807;45.0027778;34.7888889
UA01040190060069233;44.9697222;34.7780556
UA01040190070073990;45.0008333;34.8800000
UA01040210010038172;45.2355556;34.6466667
UA01040210020028452;45.2000000;34.6180556
UA01040230010050895;45.5480556;34.7130556
UA01040230020012738;45.5166667;34.7111111
UA01040230030073687;45.5777778;34.7263889
UA01040230040036450;45.5625000;34.7833333
UA01040250010020392;45.0541667;34.3150000
UA01040250020020123;45.0000000;34.3333333
UA01040250030052860;44.9805556;34.3194444
UA01040250040026169;45.0125000;34.2916667
UA01040250050018337;45.1138889;34.2958333
UA01040250060026796;45.0850000;34.3091667
UA01040250070076047;45.0450000;34.3013889
UA01040250080068374;44.9875000;34.3041667
UA01040250090083925;45.1308333;34.2786111
UA01040270010068326;45.3747222;34.7197222
UA01040270020065106;45.3622222;34.7091667
UA01040270030076395;45.3708333;34.7291667
UA01040270040015063;45.3319444;34.7319444
UA01040290000025831;45.5673550;34.9402280
UA01040290010070254;45.5708333;34.9430556
UA01040310010085584;45.3169444;34.6755556
UA01040310020084187;45.3005556;34.7088889
UA01040330000019963;45.0500000;34.3583333
UA01040330010069516;45.0538889;34.3602778
UA01040330020085307;45.0277778;34.3333333
UA01040350010047859;45.0250000;34.6097222
UA01040350020012591;44.9536111;34.6633333
UA01040350030054188;44.9750000;34.6250000
UA01040350040061641;44.9958333;34.6058333
UA01040350050029903;45.0244444;34.6327778
UA01040350060024585;44.9313889;34.6325000
UA01040350070019046;45.0788889;34.6147222
UA01040370010050684;45.0277778;34.9352778
UA01040370020068344;45.0105556;34.8769444
UA01040390010019526;45.4791667;34.8094444
UA01040390020016319;45.4936111;34.8158333
UA01040390030093653;45.4963889;34.8755556
UA01040410000039649;45.2000000;34.4222222
UA01040410010042512;45.2005556;34.4194444
UA01040410020013630;45.1958333;34.4694444
UA01040430010029713;45.4500000;34.6847222
UA01040430020071965;45.4458333;34.6541667
UA01040430030022616;45.4513889;34.7194444
UA01040430040044233;45.4611111;34.7194444
UA01040430050095299;45.4722222;34.6652778
UA01040450000033279;45.5263889;34.6402778
UA01040450010068274;45.5263889;34.6408333
UA01040450020087414;45.5461111;34.6638889
UA01040450030078647;45.5194444;34.5930556
UA01040470010029499;45.0752778;34.7075000
UA01040470020022194;45.0527778;34.7483333
UA01040490000050783;45.0888889;34.8472222
UA01040490010025598;45.0908333;34.8486111
UA01040490020063961;45.0527778;34.8350000
UA01040490030029723;45.0727778;34.8580556
UA01040490040010927;45.0650000;34.8294444
UA01040490050091795;45.1250000;34.8444444
UA01040510010040141;45.4463889;34.7344444
UA01040510020058162;45.4644444;34.7319444
UA01040510030083360;45.4805556;34.7166667
UA01040530000066139;45.4513889;34.6041667
UA01040530010077803;45.4511111;34.6036111
UA01040530020097860;45.4680556;34.5963889
UA01040530030039792;45.4413889;34.5402778
UA01040550010088649;45.1611111;34.2338889
UA01040550020032608;45.2583333;34.3013889
UA01040550030042514;45.1902778;34.2866667
UA01040550040026027;45.2266667;34.2708333
UA01040570000042023;45.5341520;34.8962280
UA01040570010042704;45.5341519;34.8962281
UA01040590000047581;45.4833300;34.8611100
UA01040590010014367;45.4836111;34.8613889
UA01040590020067580;45.4677778;34.8466667
UA01040610000061821;45.6400000;34.8820000
UA01040610010096964;45.6472222;34.8427778
UA01040610020030655;45.6263889;34.8986111
UA01040610030035427;45.6319444;34.9263889
UA01040610040082484;45.6625000;34.8769444
UA01040630000018582;45.1250000;34.4736111
UA01040630010035977;45.1230556;34.4733333
UA01040630020089356;45.1488889;34.4927778
UA01040650010024745;45.3083333;34.6538889
UA01040650020023276;45.3722222;34.6402778
UA01040650030083387;45.3241667;34.6727778
UA01040670010062727;45.4500000;34.7875000
UA01040670020074869;45.4566667;34.8000000
UA01040670030050869;45.4588889;34.7616667
UA01040690000074143;45.1000000;34.3902778
UA01040690010075069;45.0833333;34.3905556
UA01040690020016998;45.1375000;34.3805556
UA01040710010035681;45.6041667;34.8333333
UA01040710020071658;45.6222222;34.7458333
UA01040710030081339;45.5805556;34.8736111
UA01040710040054533;45.6116667;34.8855556
UA01040710050067164;45.6027778;34.8861111
UA01040710060072205;45.5950000;34.8811111
UA01040730000084787;45.0333333;34.6388889
UA01040730010039853;45.0444444;34.6383333
UA01040730020037154;45.0233333;34.6997222
UA01040730030063814;45.0027778;34.6763889
UA01040730040030160;45.0011111;34.6541667
UA01040750010015899;45.5138889;34.8200000
UA01040750020047552;45.4875000;34.8025000
UA01040750030056459;45.5463889;34.8580556
UA01060000000028159;45.7086000;34.3933000
UA01060010010090682;45.5833333;34.5666667
UA01060030010037486;45.5655556;34.3063889
UA01060050010078305;45.7086111;34.3933333
UA01060070000050618;45.8516667;34.4886111
UA01060070010079622;45.8536111;34.4863889
UA01060070020020057;45.7933333;34.4236111
UA01060070030055199;45.8469444;34.4625000
UA01060070040077324;45.7936111;34.4400000
UA01060070050062490;45.8847222;34.4500000
UA01060070060083016;45.8255556;34.4655556
UA01060070070051856;45.7688889;34.4216667
UA01060090000040099;45.8586111;34.3908333
UA01060090010012913;45.8633333;34.3894444
UA01060090020040554;45.8969444;34.3522222
UA01060090030020893;45.8766667;34.3347222
UA01060090040090998;45.8811111;34.4202778
UA01060090050035872;45.8427778;34.3930556
UA01060090060088166;45.8944444;34.2716667
UA01060110010025642;45.7369444;34.4847222
UA01060110020054068;45.7666667;34.4791667
UA01060110030095585;45.7333333;34.4555556
UA01060110040062805;45.7727778;34.5052778
UA01060110050080013;45.7422222;34.5638889
UA01060110060044964;45.7291667;34.5486111
UA01060110070010109;45.7758333;34.5183333
UA01060130010045779;45.7380556;34.4105556
UA01060130020057887;45.6961111;34.3566667
UA01060130030038263;45.7480556;34.3313889
UA01060130040012002;45.6938889;34.3705556
UA01060130050057960;45.6616667;34.3869444
UA01060130060096110;45.7583333;34.3369444
UA01060150010027388;45.6338889;34.4741667
UA01060150020068737;45.5713889;34.4938889
UA01060150030057302;45.5813889;34.4463889
UA01060150040088519;45.6511111;34.4533333
UA01060170000087883;45.7005556;34.1886111
UA01060170010033391;45.7013889;34.1900000
UA01060190010025055;45.7763889;34.2444444
UA01060190020063631;45.7627778;34.2594444
UA01060190030045526;45.7280556;34.2683333
UA01060190040064489;45.7327778;34.2991667
UA01060190050045891;45.7738889;34.2675000
UA01060210000015881;45.7952778;34.2369444
UA01060210010054267;45.8013889;34.2369444
UA01060210020070598;45.7836111;34.2644444
UA01060210030030095;45.7950000;34.2819444
UA01060210040086529;45.8308333;34.2444444
UA01060210050082911;45.8275000;34.1991667
UA01060230010081534;45.5925000;34.5461111
UA01060230020019545;45.6313889;34.5519444
UA01060230030011132;45.5719444;34.5738889
UA01060230040047884;45.5516667;34.5247222
UA01060230050014955;45.6094444;34.4941667
UA01060250010035790;45.7913889;34.3669444
UA01060250020088912;45.8277778;34.3941667
UA01060250030035126;45.7755556;34.3944444
UA01060270010016642;45.8841667;34.5563889
UA01060270020055295;45.9452778;34.6194444
UA01060270030024975;45.8902778;34.5844444
UA01060290000012729;45.6925000;34.3111111
UA01060290010093008;45.6913889;34.3102778
UA01060290020059939;45.7166667;34.3647222
UA01060290030056654;45.6722222;34.3672222
UA01060290040096431;45.6522222;34.3244444
UA01060290050016030;45.6619444;34.3627778
UA01060310000070223;45.7783333;34.1597222
UA01060310010077633;45.7802778;34.1544444
UA01060310020084102;45.8233333;34.1316667
UA01060310030037516;45.7430556;34.1530556
UA01060330010057478;45.8330556;34.1630556
UA01060330020054147;45.8769444;34.1772222
UA01060350000056233;45.7005556;34.4458333
UA01060350010072722;45.7013889;34.4472222
UA01060350020027998;45.6638889;34.4977778
UA01060350030082893;45.6744444;34.4488889
UA01060370000043403;45.6536111;34.7030556
UA01060370010062246;45.6597222;34.6972222
UA01060370020044063;45.6991667;34.7752778
UA01060370030050272;45.6875000;34.7388889
UA01060370040017640;45.6388889;34.6805556
UA01060370050059566;45.6638889;34.6591667
UA01060370060019643;45.6863889;34.6925000
UA01060370070099918;45.7094444;34.7925000
UA01060390010064808;45.6511111;34.1166667
UA01060390020015060;45.6313889;34.1333333
UA01060410000094479;45.6116667;34.3758333
UA01060410010056869;45.6083333;34.3791667
UA01060410020048220;45.6397222;34.3791667
UA01060410030043595;45.5786111;34.3594444
UA01060410040018353;45.6500000;34.3847222
UA01060410050095410;45.5788889;34.3833333
UA01060430010016957;45.6336111;34.6611111
UA01060430020098298;45.6750000;34.7736111
UA01060450010038318;45.7077778;34.5611111
UA01060450020063825;45.7263889;34.5811111
UA01060450030042795;45.6994444;34.6302778
UA01060450040092919;45.6847222;34.6136111
UA01060450050080305;45.6672222;34.6380556
UA01060450060013660;45.7022222;34.5430556
UA01060450070071811;45.7552778;34.6555556
UA01060450080046823;45.7102778;34.6194444
UA01060470010070359;45.6105556;34.6127778
UA01060470020078384;45.5858333;34.6694444
UA01060470030034624;45.5833333;34.6077778
UA01060470040097468;45.6433333;34.6077778
UA01060490010090976;45.9052778;34.1794444
UA01060490020033500;45.8777778;34.2402778
UA01060490030057741;45.9375000;34.1138889
UA01060510010048579;45.8125000;34.5950000
UA01060510020099749;45.8680556;34.7013889
UA01060530010049751;45.6636111;34.2044444
UA01060530020067140;45.6638889;34.2041667
UA01060550010089778;45.6125000;34.3166667
UA01060550020050465;45.6263889;34.3333333
UA01060550030014907;45.5930556;34.3333333
UA01060550040014571;45.6069444;34.3405556
UA01060550050063361;45.6072222;34.2758333
UA01060550060077158;45.6205556;34.2638889
UA01060550070077959;45.6061111;34.3591667
UA01060550080083879;45.5680556;34.3208333
UA01060570000054277;45.9297222;34.3438889
UA01060570010064156;45.9430556;34.3508333
UA01060570020013654;45.9677778;34.3172222
UA01060570030017540;45.9397222;34.2841667
UA01080010010068657;45.3036111;33.4988889
UA01080010020079041;45.2844444;33.5316667
UA01080030010045199;45.3761111;33.2094444
UA01080030020036700;45.3944444;33.2588889
UA01080030030025413;45.4083333;33.2708333
UA01080030040028455;45.3597222;33.2280556
UA01080050010032744;45.3916667;33.6452778
UA01080050020029678;45.3566667;33.6361111
UA01080070010022908;45.3308333;33.2488889
UA01080070020073833;45.3125000;33.2250000
UA01080070030094770;45.3111111;33.2041667
UA01080070040010652;45.3619444;33.2627778
UA01080090010045977;45.1388889;33.7438889
UA01080090020061444;45.1611111;33.8069444
UA01080110010015544;45.6591667;33.0794444
UA01080110020062537;45.6516667;33.0255556
UA01080110030051313;45.6333333;33.0736111
UA01080110040042627;45.5938889;33.0672222
UA01080110050071858;45.6850000;33.0569444
UA01080130000045712;45.3736100;33.3652800
UA01080130010047488;45.3738889;33.3647222
UA01080130020044600;45.4480556;33.3555556
UA01080130030077208;45.3341667;33.3194444
UA01080130040052850;45.4875000;33.3986111
UA01080130050074822;45.4722222;33.4222222
UA01080150010090810;45.2000000;33.3583333
UA01080170010046248;45.1600000;33.2747222
UA01080190000077346;45.2875000;33.8694400
UA01080190010030424;45.2872222;33.8700000
UA01080190020017068;45.2075000;33.9111111
UA01080210000085553;45.0722200;33.6597200
UA01080210010010376;45.0722222;33.6597222
UA01080210020062665;45.0722222;33.7577778
UA01080230010016967;45.5441667;33.0791667
UA01080230020089042;45.5069444;33.0847222
UA01080230030073042;45.5733333;33.1716667
UA01080230040061221;45.5602778;33.0452778
UA01080250000089512;45.3263900;33.4486100
UA01080250010038727;45.3263889;33.4486111
UA01080250020031275;45.3791667;33.4430556
UA01080250030026159;45.3297222;33.4258333
UA01080270000041617;45.2277800;33.8333300
UA01080270010042114;45.2272222;33.8336111
UA01080270020014692;45.2233333;33.7533333
UA01080270030054826;45.2355556;33.7591667
UA01080290000094502;45.4819400;32.9375000
UA01080290010052970;45.4825000;32.9377778
UA01080290020022799;45.4761111;32.9788889
UA01080290030039527;45.4661111;32.8880556
UA01080310010068676;45.5063889;33.2691667
UA01080310020027696;45.5022222;33.2983333
UA01080330010055488;45.1894444;33.7994444
UA01080330020028472;45.1369444;33.8388889
UA01080330030086649;45.1616667;33.8388889
UA01080330040033504;45.1500000;33.8916667
UA01080350010089970;45.1527778;33.6141667
UA01080350020048787;45.1472222;33.5763889
UA01080350030055672;45.2155556;33.5905556
UA01080350040020024;45.2177778;33.6100000
UA01080350050023625;45.1461111;33.5191667
UA01080370010062149;45.3855556;33.0038889
UA01080370020095086;45.3625000;32.9794444
UA01080390010079538;45.3086111;33.0333333
UA01080410000097623;45.2361100;33.6972200
UA01080410010013368;45.2361111;33.6972222
UA01080410020095880;45.2416667;33.6597222
UA01080410030075580;45.2522222;33.6405556
UA01080410040068627;45.2597222;33.6611111
UA01080410050018168;45.1875000;33.6847222
UA01080430010095937;45.5841667;32.8444444
UA01080430020021643;45.5900000;32.9363889
UA01080430030067997;45.5388889;32.8833333
UA01080430040087411;45.5772222;32.9433333
UA01080430050015001;45.5252778;32.8372222
UA01080450010026478;45.1986111;33.2222222
UA01080450020059599;45.2694444;33.1888889
UA01080450030044367;45.2077778;33.1530556
UA01080470010032818;45.4500000;33.0975000
UA01080470020020935;45.5000000;33.1847222
UA01080490010081920;45.3858333;33.1200000
UA01080510000081703;45.4994444;32.7280556
UA01080510010031099;45.5013889;32.7277778
UA01080510020050303;45.4805556;32.8238889
UA01080530010014181;45.0930600;33.5680600
UA01080550000082915;45.3694400;32.7666700
UA01080550010096083;45.3694444;32.7666667
UA01080550020081415;45.3886111;32.8694444
UA01080550030019128;45.3811111;32.8936111
UA01080550040061512;45.4133333;32.6797222
UA01080550050043635;45.3458333;32.7083333
UA01080570010048789;45.3833300;32.5333300
UA01080570020047754;45.4866667;32.6822222
UA01080570030036989;45.3477778;32.4961111
UA01080590000030182;45.1305600;33.6333300
UA01080590010087834;45.1305556;33.6330556
UA01080590020030723;45.1125000;33.6138889
UA01080590030057695;45.1169444;33.6858333
UA01080590040061111;45.1141667;33.6602778
UA01080610000042551;45.2388900;33.5930600
UA01080610010040352;45.2388889;33.5930556
UA01080610020056303;45.2680556;33.5944444
UA01080610030035504;45.2908333;33.6066667
UA01080610040095458;45.3100000;33.6397222
UA01080610050059517;45.2369444;33.5652778
UA01080610060092924;45.2911111;33.5755556
UA01080630000050017;45.2583300;33.2513900
UA01080630010038509;45.2580556;33.2513889
UA01080630020045752;45.2713889;33.2969444
UA01080650010078157;45.1336111;33.5772222
UA01080670010069089;45.3513889;33.8750000
UA01080670020056850;45.3161111;33.8097222
UA01080670030068470;45.3736111;33.7861111
UA01080670040011372;45.3833333;33.7166667
UA01080690000089219;45.3638900;33.4958300
UA01080690010058793;45.3644444;33.4955556
UA01080690020090324;45.4197222;33.5394444
UA01080710010090219;45.2519444;33.3691667
UA01080710020018671;45.2963889;33.3508333
UA01080710030023125;45.2733333;33.4530556
UA01080710040086519;45.2469444;33.4163889
UA01080710050093195;45.2400000;33.3963889
UA01080710060066566;45.2877778;33.4325000
UA01080710070055581;45.2805556;33.4388889
UA01080730010071696;45.1986111;33.3000000
UA01080750010098495;45.0258333;33.6302778
UA01080770010068666;45.5030556;32.7050000
UA01080790010016972;45.2666667;33.0858333
UA01080790020064888;45.3063889;33.0819444
UA01080790030093226;45.2975000;33.0375000
UA01080790040022141;45.3033333;33.1388889
UA01080790050041349;45.2502778;33.1411111
UA01100010010089286;45.3830000;36.3000000
UA01100010020045317;45.2886111;36.2858333
UA01100030000048819;45.1830000;35.6157000
UA01100030010061158;45.1902778;35.6152778
UA01100030020040197;45.1250000;35.6583333
UA01100030030081529;45.1972222;35.5347222
UA01100050010033109;45.3763889;36.0833333
UA01100050020018128;45.3680556;36.0263889
UA01100050030023447;45.4222222;36.0763889
UA01100050040044550;45.3686111;36.0138889
UA01100050050052182;45.3916667;36.0597222
UA01100050060048177;45.3555556;36.0347222
UA01100070000027051;45.2835000;35.8500000
UA01100070010038968;45.2930556;35.8486111
UA01100070020081236;45.2930556;35.8708333
UA01100090010047333;45.3844444;36.4350000
UA01100090020099043;45.4013889;36.4902778
UA01100090030049514;45.4727778;36.3380556
UA01100090040091950;45.3875000;36.4833333
UA01100110010054202;45.3861111;36.5777778
UA01100110020019374;45.4291667;36.5944444
UA01100110030086898;45.4250000;36.5666667
UA01100130010059529;45.2763889;36.1861111
UA01100150010015406;45.1916667;36.6563889
UA01100150020019833;45.1513889;36.3708333
UA01100150030031394;45.1388889;36.4166667
UA01100150040032724;45.0736111;36.3180556
UA01100170000080650;45.2830000;35.7330000
UA01100170010020532;45.2805556;35.7363889
UA01100190000015603;45.3170000;35.7500000
UA01100190010010644;45.3213889;35.7463889
UA01100210010057785;45.3386111;36.4680556
UA01100230000026110;45.2167000;35.8333000
UA01100230010066115;45.2208333;35.8430556
UA01100230020078544;45.1400000;35.9444444
UA01100230030026705;45.1377778;35.8527778
UA01100250000014231;45.2500000;35.8000000
UA01100250010014504;45.2500000;35.8055556
UA01100250020023351;45.2708333;35.7861111
UA01100270010050554;45.2975000;35.7738889
UA01100290000081734;45.2500000;35.9167000
UA01100290010046684;45.2541667;35.9208333
UA01100290020083409;45.2666667;36.0222222
UA01100310010010909;45.2333333;35.7180556
UA01100310020064205;45.2055556;35.6555556
UA01100330010013955;45.2366667;36.6986111
UA01100330020075777;45.1000000;36.2333333
UA01100330030028465;45.1111111;36.2555556
UA01100330040079238;45.1638889;36.1875000
UA01100350010060639;45.1958333;36.0888889
UA01100350020090496;45.2472222;36.0972222
UA01100350030045697;45.1569444;36.0791667
UA01100370000049378;45.4500000;35.8330000
UA01100370010043734;45.4458333;35.8347222
UA01100370020044198;45.4041667;35.8791667
UA01100370030067307;45.3472222;35.7333333
UA01100370040010689;45.3763889;35.7666667
UA01100390000084753;45.3000000;36.0500000
UA01100390010069923;45.3097222;36.0597222
UA01100410000053805;45.3670000;36.3660000
UA01100410010060197;45.3638889;36.3666667
UA01100430000049599;45.3167000;35.9166000
UA01100430010070725;45.3250000;35.9152778
UA01100430020010219;45.3430556;35.9847222
UA01100430030049330;45.3611111;35.9458333
UA01100450010037802;45.2736111;36.3333333
UA01100470010097617;45.2444444;35.5597222
UA01100470020083418;45.2805556;35.5236111
UA01100470030091951;45.2625000;35.4750000
UA01100470040034528;45.2263889;35.5347222
UA01100470050076272;45.3291667;35.4111111
UA01100470060021944;45.1958333;35.4541667
UA01100490010066249;45.2616667;35.6652778
UA01100510010023855;45.2027778;36.3722222
UA01100510020046508;45.1930556;36.3269444
UA01100530000065789;45.3670000;36.1830000
UA01100530010017276;45.3638889;36.1847222
UA01100530020055718;45.3722222;36.1847222
UA01100530030057524;45.3333333;36.2152778
UA01100530040015676;45.3097222;36.2236111
UA01100550010023633;45.4236111;35.8186111
UA01120010000079122;45.6902800;34.0986100
UA01120010010061089;45.6908528;34.0993250
UA01120030010073062;45.2763889;34.1297222
UA01120030020090776;45.2638889;34.1847222
UA01120030030030658;45.2388889;34.1522222
UA01120030040088785;45.3125000;34.1208333
UA01120030050043997;45.2925000;34.1105556
UA01120030060038279;45.3138889;34.1638889
UA01120050000065266;45.5111100;33.8750000
UA01120050010085180;45.5102778;33.8755556
UA01120050020024131;45.4325000;33.8333333
UA01120050030020437;45.5127778;33.8397222
UA01120070010056807;45.5072222;34.3827778
UA01120070020029454;45.4605556;34.4308333
UA01120070030093951;45.4805556;34.3855556
UA01120070040023302;45.5402778;34.3430556
UA01120070050019025;45.5041667;34.5241667
UA01120070060071876;45.4958333;34.4769444
UA01120070070082009;45.5272222;34.5016667
UA01120070080078399;45.5325000;34.4250000
UA01120070090069749;45.4805556;34.4277778
UA01120070100018597;45.5341667;34.3855556
UA01120090010041528;45.5861111;33.9777778
UA01120090020050245;45.5850000;33.9272222
UA01120090030077443;45.5791667;34.0486111
UA01120110000033787;45.6416700;33.8305600
UA01120110010019886;45.6419444;33.8305556
UA01120110020084358;45.6452778;33.8647222
UA01120110030090910;45.6233333;33.9041667
UA01120130010021415;45.3250000;34.4819444
UA01120130020028247;45.3638889;34.5355556
UA01120150000036675;45.5930600;34.2208300
UA01120150010084235;45.5925000;34.2211111
UA01120150020036088;45.6183333;34.2383333
UA01120150030041378;45.5455556;34.2150000
UA01120150050053850;45.6136111;34.2016667
UA01120170000016810;45.7430600;33.7750000
UA01120170010071010;45.7425000;33.7750000
UA01120170020031309;45.7144444;33.8113889
UA01120190000076422;45.5208300;34.1708300
UA01120190010049914;45.5236111;34.1875000
UA01120190020033454;45.5222222;34.0805556
UA01120190030079921;45.5122222;34.1166667
UA01120210010088609;45.2286111;34.3338889
UA01120210020087477;45.2911111;34.3708333
UA01120210030052326;45.2466667;34.3922222
UA01120230000035243;45.5013900;33.6111100
