id;koatuu;name;type;oblast;raion;hromada
UA01020370050048874;0120455604;Малинівка;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370060014747;0120455605;Нововасилівка;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370070047245;0120455606;Новопавлівка;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370080064174;0120455607;Приятне Свідання;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370090059007;0120455608;Ростуче;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370100079082;0120455609;Самохвалове;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370110050872;0120455610;Севастянівка;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370120034950;0120455612;Тополі;село;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020370130021249;0120455611;Стальне;селище;Автономна Республіка Крим;Бахчисарайський;Поштівська
UA01020390010087353;0120485001;Скалисте;село;Автономна Республіка Крим;Бахчисарайський;Скалистівська
UA01020390020089381;0120485002;Глибокий Яр;село;Автономна Республіка Крим;Бахчисарайський;Скалистівська
UA01020390030068062;0120485003;Прохладне;село;Автономна Республіка Крим;Бахчисарайський;Скалистівська
UA01020390040022064;0120485004;Трудолюбівка;село;Автономна Республіка Крим;Бахчисарайський;Скалистівська
UA01020410010079227;0120485501;Табачне;село;Автономна Республіка Крим;Бахчисарайський;Табачненська
UA01020430010015851;8536391501;Тернівка;село;Автономна Республіка Крим;Бахчисарайський;Тернівська
UA01020430020041589;8536391503;Рідне;село;Автономна Республіка Крим;Бахчисарайський;Тернівська
UA01020450010047517;0120486201;Тінисте;село;Автономна Республіка Крим;Бахчисарайський;Тінистівська
UA01020450020080220;0120486202;Айвове;село;Автономна Республіка Крим;Бахчисарайський;Тінистівська
UA01020450030044282;0120486203;Красна Зоря;село;Автономна Республіка Крим;Бахчисарайський;Тінистівська
UA01020450040029353;0120486204;Некрасовка;село;Автономна Республіка Крим;Бахчисарайський;Тінистівська
UA01020450050043908;0120486205;Суворове;село;Автономна Республіка Крим;Бахчисарайський;Тінистівська
UA01020470010027281;0120488401;Углове;село;Автономна Республіка Крим;Бахчисарайський;Углівська
UA01040010010075410;0120780401;Ароматне;село;Автономна Республіка Крим;Білогірський;Ароматнівська
UA01040010020047319;0120780402;Красногірське;село;Автономна Республіка Крим;Білогірський;Ароматнівська
UA01040010030032536;0120780403;Курортне;село;Автономна Республіка Крим;Білогірський;Ароматнівська
UA01040030010054698;0120780801;Багате;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040030020054426;0120780802;Горлинка;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040030030079308;0120780803;Красна Слобода;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040030040031736;0120780804;Мелехове;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040030050078807;0120780805;Поворотне;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040030060066182;0120780806;Руське;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040030070095548;0120780807;Черемисівка;село;Автономна Республіка Крим;Білогірський;Багатівська
UA01040050010076142;0120710100;Білогірськ;місто;Автономна Республіка Крим;Білогірський;Білогірська
UA01040070010033033;0120781301;Василівка;село;Автономна Республіка Крим;Білогірський;Василівська
UA01040070020055528;0120781303;Малинівка;село;Автономна Республіка Крим;Білогірський;Василівська
UA01040070030047836;0120781304;Некрасове;село;Автономна Республіка Крим;Білогірський;Василівська
UA01040070040034784;0120781305;Павлівка;село;Автономна Республіка Крим;Білогірський;Василівська
UA01040070050033996;0120781306;Пролом;село;Автономна Республіка Крим;Білогірський;Василівська
UA01040070060012593;0120781307;Сєверне;село;Автономна Республіка Крим;Білогірський;Василівська
UA01040090010029666;0120781901;Вишенне;село;Автономна Республіка Крим;Білогірський;Вишенська
UA01040090020073644;0120781902;Біла Скеля;село;Автономна Республіка Крим;Білогірський;Вишенська
UA01040090030082750;0120781903;Миронівка;село;Автономна Республіка Крим;Білогірський;Вишенська
UA01040110010070703;0123180601;Дрофине;село;Автономна Республіка Крим;Білогірський;Дрофинська
UA01040110020039966;0123180602;Стрепетове;село;Автономна Республіка Крим;Білогірський;Дрофинська
UA01040110030087754;0123180603;Яструбки;село;Автономна Республіка Крим;Білогірський;Дрофинська
UA01040130010024144;0123181201;Желябовка;село;Автономна Республіка Крим;Білогірський;Желябовська
UA01040130020098833;0123181202;Ломоносове;село;Автономна Республіка Крим;Білогірський;Желябовська
UA01040150010012456;0123181501;Жемчужина;село;Автономна Республіка Крим;Білогірський;Жемчужинська
UA01040150020053669;0123181502;Піни;село;Автономна Республіка Крим;Білогірський;Жемчужинська
UA01040150030055513;0123181503;Прирічне;село;Автономна Республіка Крим;Білогірський;Жемчужинська
UA01040170010099030;0120782501;Зеленогірське;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170020016040;0120782502;Балки;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170030074437;0120782503;Міжгір’я;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170040064672;0120782505;Новогригорівка;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170050072173;0120782506;Новокленове;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170060032396;0120782507;Овражки;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170070071644;0120782508;Олександрівка;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170080017987;0120782509;Пасічне;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170090038370;0120782510;Пчолине;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040170100036591;0120782511;Яковлівка;село;Автономна Республіка Крим;Білогірський;Зеленогірська
UA01040190010097055;0120782701;Земляничне;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040190020016045;0120782702;Оленівка;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040190030042848;0120782703;Опитне;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040190040040090;0120782704;Радісне;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040190050057807;0120782705;Родники;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040190060069233;0120782706;Синьокам’янка;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040190070073990;0120782707;Учебне;село;Автономна Республіка Крим;Білогірський;Земляничненська
UA01040210010038172;0120782901;Зибини;село;Автономна Республіка Крим;Білогірський;Зибинська
UA01040210020028452;0120782902;Мельники;село;Автономна Республіка Крим;Білогірський;Зибинська
UA01040230010050895;0123182001;Зоркіне;село;Автономна Республіка Крим;Білогірський;Зоркінська
UA01040230020012738;0123182002;Межове;село;Автономна Республіка Крим;Білогірський;Зоркінська
UA01040230030073687;0123182003;Ніжинське;село;Автономна Республіка Крим;Білогірський;Зоркінська
UA01040230040036450;0123182004;Широке;село;Автономна Республіка Крим;Білогірський;Зоркінська
UA01040250010020392;0120755300;Зуя;селище міського типу;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250020020123;0120755301;Баланове;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250030052860;0120755302;Барабанове;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250040026169;0120755303;Верхні Орішники;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250050018337;0120755305;Володимирівка;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250060026796;0120755307;Литвиненкове;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250070076047;0120755308;Нижні Орішники;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250080068374;0120755309;Петрове;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040250090083925;0120755310;Українка;село;Автономна Республіка Крим;Білогірський;Зуйська
UA01040270010068326;0123182201;Іванівка;село;Автономна Республіка Крим;Білогірський;Іванівська
UA01040270020065106;0123182202;Заріччя;село;Автономна Республіка Крим;Білогірський;Іванівська
UA01040270030076395;0123182203;Тамбовка;село;Автономна Республіка Крим;Білогірський;Іванівська
UA01040270040015063;0123182204;Тарасівка;село;Автономна Республіка Крим;Білогірський;Іванівська
UA01040290010070254;0123182401;Ізобільне;село;Автономна Республіка Крим;Білогірський;Ізобільненська
UA01040310010085584;0123182601;Кісточківка;село;Автономна Республіка Крим;Білогірський;Кісточківська
UA01040310020084187;0123182602;Бюйтен;село;Автономна Республіка Крим;Білогірський;Кісточківська
UA01040330010069516;0120783601;Кримська Роза;село;Автономна Республіка Крим;Білогірський;Кримськорозівська
UA01040330020085307;0120783603;Вишневе;село;Автономна Республіка Крим;Білогірський;Кримськорозівська
UA01040350010047859;0120783401;Криничне;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040350020012591;0120783402;Алексєєвка;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040350030054188;0120783404;Голованівка;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040350040061641;0120783405;Карасівка;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040350050029903;0120783406;Кирпичне;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040350060024585;0120783407;Красноселівка;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040350070019046;0120783409;Яблучне;село;Автономна Республіка Крим;Білогірський;Криничненська
UA01040370010050684;0120783801;Курське;село;Автономна Республіка Крим;Білогірський;Курська
UA01040370020068344;0120783802;Тополівка;село;Автономна Республіка Крим;Білогірський;Курська
UA01040390010019526;0123182801;Листвинне;село;Автономна Республіка Крим;Білогірський;Листвинська
UA01040390020016319;0123182802;Кирсанівка;село;Автономна Республіка Крим;Білогірський;Листвинська
UA01040390030093653;0123182803;Цвітуще;село;Автономна Республіка Крим;Білогірський;Листвинська
UA01040410010042512;0120784201;Мельничне;село;Автономна Республіка Крим;Білогірський;Мельнична
UA01040410020013630;0120784202;Бочала;село;Автономна Республіка Крим;Білогірський;Мельнична
UA01040430010029713;0123183001;Митрофанівка;село;Автономна Республіка Крим;Білогірський;Митрофанівська
UA01040430020071965;0123183002;Буревісник;село;Автономна Республіка Крим;Білогірський;Митрофанівська
UA01040430030022616;0123183003;Плодове;село;Автономна Республіка Крим;Білогірський;Митрофанівська
UA01040430040044233;0123183004;Розливи;село;Автономна Республіка Крим;Білогірський;Митрофанівська
UA01040430050095299;0123183005;Червоне;село;Автономна Республіка Крим;Білогірський;Митрофанівська
UA01040450010068274;0123183401;Михайлівка;село;Автономна Республіка Крим;Білогірський;Михайлівська
UA01040450020087414;0123183402;Кунцеве;село;Автономна Республіка Крим;Білогірський;Михайлівська
UA01040450030078647;0123183403;Уютне;село;Автономна Республіка Крим;Білогірський;Михайлівська
UA01040470010029499;0120784601;Мічурінське;село;Автономна Республіка Крим;Білогірський;Мічурінська
UA01040470020022194;0120784602;Лічебне;село;Автономна Республіка Крим;Білогірський;Мічурінська
UA01040490010025598;0120785001;Муромське;село;Автономна Республіка Крим;Білогірський;Муромська
UA01040490020063961;0120785002;Дивне;село;Автономна Республіка Крим;Білогірський;Муромська
UA01040490030029723;0120785003;Кривцове;село;Автономна Республіка Крим;Білогірський;Муромська
UA01040490040010927;0120785005;Сінне;село;Автономна Республіка Крим;Білогірський;Муромська
UA01040490050091795;0120785006;Хлібне;село;Автономна Республіка Крим;Білогірський;Муромська
UA01040510010040141;0123155100;Нижньогірський;селище міського типу;Автономна Республіка Крим;Білогірський;Нижньогірська
UA01040510020058162;0123155101;Зелене;село;Автономна Республіка Крим;Білогірський;Нижньогірська
UA01040510030083360;0123155102;Лінійне;село;Автономна Республіка Крим;Білогірський;Нижньогірська
UA01040530010077803;0123184601;Новогригорівка;село;Автономна Республіка Крим;Білогірський;Новогригорівська
UA01040530020097860;0123184602;Владиславівка;село;Автономна Республіка Крим;Білогірський;Новогригорівська
UA01040530030039792;0123184603;Корінне;село;Автономна Республіка Крим;Білогірський;Новогригорівська
UA01040550010088649;0120785801;Новожилівка;село;Автономна Республіка Крим;Білогірський;Новожилівська
UA01040550020032608;0120785802;Аннівка;село;Автономна Республіка Крим;Білогірський;Новожилівська
UA01040550030042514;0120785803;Новоолександрівка;село;Автономна Республіка Крим;Білогірський;Новожилівська
UA01040550040026027;0120785804;Тургенєве;село;Автономна Республіка Крим;Білогірський;Новожилівська
UA01040570010042704;0123180801;Омелянівка;село;Автономна Республіка Крим;Білогірський;Омелянівська
UA01040590010014367;0123185001;Охотське;село;Автономна Республіка Крим;Білогірський;Охотська
UA01040590020067580;0123185002;Родники;село;Автономна Республіка Крим;Білогірський;Охотська
UA01040610010096964;0123185201;Пшеничне;село;Автономна Республіка Крим;Білогірський;Пшеничненська
UA01040610020030655;0123185202;Дворове;село;Автономна Республіка Крим;Білогірський;Пшеничненська
UA01040610030035427;0123185203;Любимівка;село;Автономна Республіка Крим;Білогірський;Пшеничненська
UA01040610040082484;0123185204;Слив’янка;село;Автономна Республіка Крим;Білогірський;Пшеничненська
UA01040630010035977;0120786301;Русаківка;село;Автономна Республіка Крим;Білогірський;Русаківська
UA01040630020089356;0120786302;Лугове;село;Автономна Республіка Крим;Білогірський;Русаківська
UA01040650010024745;0123186101;Садове;село;Автономна Республіка Крим;Білогірський;Садова
UA01040650020023276;0123186102;Кукурудзяне;село;Автономна Республіка Крим;Білогірський;Садова
UA01040650030083387;0123186103;Сєрове;село;Автономна Республіка Крим;Білогірський;Садова
UA01040670010062727;0123187201;Уварівка;село;Автономна Республіка Крим;Білогірський;Уварівська
UA01040670020074869;0123187202;Новоіванівка;село;Автономна Республіка Крим;Білогірський;Уварівська
UA01040670030050869;0123187203;Сім’яне;село;Автономна Республіка Крим;Білогірський;Уварівська
UA01040690010075069;0120788401;Цвіточне;село;Автономна Республіка Крим;Білогірський;Цвіточненська
UA01040690020016998;0120788402;Долинівка;село;Автономна Республіка Крим;Білогірський;Цвіточненська
UA01040710010035681;0123187401;Чкалове;село;Автономна Республіка Крим;Білогірський;Чкаловська
UA01040710020071658;0123187402;Великосілля;село;Автономна Республіка Крим;Білогірський;Чкаловська
UA01040710030081339;0123187403;Заливне;село;Автономна Республіка Крим;Білогірський;Чкаловська
UA01040710040054533;0123187404;Коврове;село;Автономна Республіка Крим;Білогірський;Чкаловська
UA01040710050067164;0123187405;Лугове;село;Автономна Республіка Крим;Білогірський;Чкаловська
UA01040710060072205;0123187406;Степанівка;село;Автономна Республіка Крим;Білогірський;Чкаловська
UA01040730010039853;0120788801;Чорнопілля;село;Автономна Республіка Крим;Білогірський;Чорнопільська
UA01040730020037154;0120788802;Дозорне;село;Автономна Республіка Крим;Білогірський;Чорнопільська
UA01040730030063814;0120788803;Кизилівка;село;Автономна Республіка Крим;Білогірський;Чорнопільська
UA01040730040030160;0120788804;Султан-Сарай;село;Автономна Республіка Крим;Білогірський;Чорнопільська
UA01040750010015899;0123180401;Якимівка;село;Автономна Республіка Крим;Білогірський;Якимівська
UA01040750020047552;0123180402;Дворіччя;село;Автономна Республіка Крим;Білогірський;Якимівська
UA01040750030056459;0123180403;Лужки;село;Автономна Республіка Крим;Білогірський;Якимівська
UA01060010010090682;0121155200;Азовське;селище міського типу;Автономна Республіка Крим;Джанкойський;Азовська
UA01060030010037486;0121155400;Вільне;селище міського типу;Автономна Республіка Крим;Джанкойський;Вільненська
UA01060050010078305;0110600000;Джанкой;місто;Автономна Республіка Крим;Джанкойський;Джанкойська
UA01060070010079622;0121180601;Єрмакове;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060070020020057;0121180602;Вітвисте;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060070030055199;0121180603;Копані;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060070040077324;0121180605;Придорожнє;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060070050062490;0121180606;Солоне Озеро;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060070060083016;0121180607;Стовпове;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060070070051856;0121180604;Тархан-Сунак;село;Автономна Республіка Крим;Джанкойський;Єрмаківська
UA01060090010012913;0121180801;Кучук-Алкали;село;Автономна Республіка Крим;Джанкойський;Завіто-Ленінська
UA01060090020040554;0121180802;Зелений Яр;село;Автономна Республіка Крим;Джанкойський;Завіто-Ленінська
UA01060090030020893;0121180803;Мартинівка;село;Автономна Республіка Крим;Джанкойський;Завіто-Ленінська
UA01060090040090998;0121180804;Мілководне;село;Автономна Республіка Крим;Джанкойський;Завіто-Ленінська
UA01060090050035872;0121180805;Пушкіне;село;Автономна Республіка Крим;Джанкойський;Завіто-Ленінська
UA01060090060088166;0121180806;Солонцеве;село;Автономна Республіка Крим;Джанкойський;Завіто-Ленінська
UA01060110010025642;0121181301;Зарічне;село;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060110020054068;0121181302;Армійське;село;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060110030095585;0121181303;Болотне;село;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060110040062805;0121181306;Низинне;село;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060110050080013;0121181307;Перепілкине;село;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060110060044964;0121181308;Суміжне;село;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060110070010109;0121181305;Митюрине;селище;Автономна Республіка Крим;Джанкойський;Зарічненська
UA01060130010045779;0121181501;Ізумрудне;село;Автономна Республіка Крим;Джанкойський;Ізумруднівська
UA01060130020057887;0121181502;Дмитрівка;село;Автономна Республіка Крим;Джанкойський;Ізумруднівська
UA01060130030038263;0121181503;Калинівка;село;Автономна Республіка Крим;Джанкойський;Ізумруднівська
